ID, COS (30)(Mg/ha) ,LATITUD,LONGITUD,año muestro,Referencia,PROVINCIA
Sainz -38.196667-57.930033,104.95,-38.196667,-57.930033,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.28935-57.948017,86.75,-38.28935,-57.948017,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.284083-57.9541,103.01,-38.284083,-57.9541,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.21755-57.96105,115.13,-38.21755,-57.96105,2011,Sainz Rozas et al. (2011),Buenos Aires
Berhon-35.67083-57.96498,72.78,-35.67083,-57.96498,2008,"Berhongaray et al., (2013)",Buenos Aires
Berhon-35.67083-57.96498,47.92,-35.67083,-57.96498,2008,"Berhongaray et al., (2013)",Buenos Aires
Andriu-38.07022-58.08581,157.78,-38.07022,-58.08581,2012,Andriulo et al. (2012),Buenos Aires
Andriu-38.07022-58.08581,53.25,-38.07022,-58.08581,2012,Andriulo et al. (2012),Buenos Aires
Andriu-38.32272-58.09839,98.22,-38.32272,-58.09839,2012,Andriulo et al. (2012),Buenos Aires
Andriu-38.06617-58.10017,82.75,-38.06617,-58.10017,2012,Andriulo et al. (2012),Buenos Aires
Andriu-38.39219-58.10781,52.96,-38.39219,-58.10781,2012,Andriulo et al. (2012),Buenos Aires
Andriu-38.39244-58.11119,66.43,-38.39244,-58.11119,2012,Andriulo et al. (2012),Buenos Aires
Andriu-38.35444-58.11489,72.38,-38.35444,-58.11489,2012,Andriulo et al. (2012),Buenos Aires
Andriu-38.11933-58.13269,82.94,-38.11933,-58.13269,2012,Andriulo et al. (2012),Buenos Aires
Sainz -38.381217-58.138267,83.96,-38.381217,-58.138267,2011,Sainz Rozas et al. (2011),Buenos Aires
Berhon-38.35132-58.14115,76.08,-38.35132,-58.14115,2008,"Berhongaray et al., (2013)",Buenos Aires
Berhon-38.35132-58.14115,87.17,-38.35132,-58.14115,2008,"Berhongaray et al., (2013)",Buenos Aires
Andriu-38.34544-58.14339,81.27,-38.34544,-58.14339,2012,Andriulo et al. (2012),Buenos Aires
Sainz -38.370283-58.14445,88.77,-38.370283,-58.14445,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.409265-58.15875,100.4,-37.409265,-58.15875,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.288717-58.215633,96.86,-38.288717,-58.215633,2011,Sainz Rozas et al. (2011),Buenos Aires
Andriu-37.75403-58.21867,42.79,-37.75403,-58.21867,2012,Andriulo et al. (2012),Buenos Aires
Sainz -38.133723-58.228435,78.78,-38.133723,-58.228435,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.133723-58.228435,111.28,-38.133723,-58.228435,2011,Sainz Rozas et al. (2011),Buenos Aires
Andriu-37.72742-58.23981,49.99,-37.72742,-58.23981,2012,Andriulo et al. (2012),Buenos Aires
Andriu-37.71703-58.24144,72.24,-37.71703,-58.24144,2012,Andriulo et al. (2012),Buenos Aires
Andriu-37.72697-58.24353,74.21,-37.72697,-58.24353,2012,Andriulo et al. (2012),Buenos Aires
Sainz -37.747767-58.250183,87.26,-37.747767,-58.250183,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.74495-58.251017,92.82,-37.74495,-58.251017,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.035944-58.251944,122.4,-38.035944,-58.251944,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.038222-58.257611,117.35,-38.038222,-58.257611,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.754617-58.299051,104.23,-37.754617,-58.299051,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.754617-58.299051,98.17,-37.754617,-58.299051,2010,Sainz Rozas et al. (2011),Buenos Aires
Andriu-38.07661-58.30189,89.87,-38.07661,-58.30189,2012,Andriulo et al. (2012),Buenos Aires
Berhon-37.768056-58.304722,60.15,-37.768056,-58.304722,2008,"Berhongaray et al., (2013)",Buenos Aires
Berhon-37.768056-58.304722,68.32,-37.768056,-58.304722,2008,"Berhongaray et al., (2013)",Buenos Aires
Sainz -37.763343-58.311476,82.65,-37.763343,-58.311476,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.763343-58.311476,80.84,-37.763343,-58.311476,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.763343-58.311476,82.65,-37.763343,-58.311476,2011,Sainz Rozas et al. (2011),Buenos Aires
Berhon-32.507311-58.35464,22.94,-32.507311,-58.35464,2008,"Berhongaray et al., (2013)",Entre Rios
Berhon-32.507311-58.35464,48.2,-32.507311,-58.35464,2008,"Berhongaray et al., (2013)",Entre Rios
Sainz -38.009017-58.366733,108.47,-38.009017,-58.366733,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.685556-58.398028,92.11,-37.685556,-58.398028,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.686361-58.401556,115.83,-37.686361,-58.401556,2010,Sainz Rozas et al. (2011),Buenos Aires
Andriu-37.67669-58.40831,88.9,-37.67669,-58.40831,2012,Andriulo et al. (2012),Buenos Aires
Andriu-37.68111-58.40925,57.03,-37.68111,-58.40925,2012,Andriulo et al. (2012),Buenos Aires
Andriu-37.95722-58.43528,80.4,-37.95722,-58.43528,2012,Andriulo et al. (2012),Buenos Aires
Andriu-37.95839-58.43886,168.3,-37.95839,-58.43886,2012,Andriulo et al. (2012),Buenos Aires
Andriu-37.95839-58.43886,63.83,-37.95839,-58.43886,2012,Andriulo et al. (2012),Buenos Aires
Sainz -37.811167-58.444383,97.56,-37.811167,-58.444383,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.811167-58.444417,86.75,-37.811167,-58.444417,2011,Sainz Rozas et al. (2011),Buenos Aires
Andriu-37.90128-58.44536,48.22,-37.90128,-58.44536,2012,Andriulo et al. (2012),Buenos Aires
Sainz -37.9185-58.449972,122.91,-37.9185,-58.449972,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.920111-58.450333,90.29,-37.920111,-58.450333,2010,Sainz Rozas et al. (2011),Buenos Aires
Andriu-37.88108-58.46494,61.95,-37.88108,-58.46494,2012,Andriulo et al. (2012),Buenos Aires
Andriu-37.88058-58.46833,174.07,-37.88058,-58.46833,2012,Andriulo et al. (2012),Buenos Aires
Sainz -38.117367-58.4906,92.82,-38.117367,-58.4906,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.0784-58.525767,103.62,-38.0784,-58.525767,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.377222-58.527,88.01,-38.377222,-58.527,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.611667-58.528483,105.46,-37.611667,-58.528483,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.602983-58.533783,110.29,-37.602983,-58.533783,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.685889-58.556833,113.92,-37.685889,-58.556833,2010,Sainz Rozas et al. (2011),Buenos Aires
Berhon-38.46296-58.56948,76.13,-38.46296,-58.56948,2008,"Berhongaray et al., (2013)",Buenos Aires
Berhon-38.46296-58.56948,78.52,-38.46296,-58.56948,2008,"Berhongaray et al., (2013)",Buenos Aires
Sainz -35.62511-58.56958,90.49,-35.62511,-58.56958,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -35.62539-58.56989,97.44,-35.62539,-58.56989,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.839611-58.573417,88.01,-37.839611,-58.573417,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.844056-58.579389,107.62,-37.844056,-58.579389,2010,Sainz Rozas et al. (2011),Buenos Aires
Andriu-38.44969-58.60839,45.56,-38.44969,-58.60839,2012,Andriulo et al. (2012),Buenos Aires
Andriu-38.43717-58.61528,59.79,-38.43717,-58.61528,2012,Andriulo et al. (2012),Buenos Aires
Sainz -35.91333-58.61926,88.7,-35.91333,-58.61926,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -35.91319-58.62061,54.69,-35.91319,-58.62061,2011,Sainz Rozas et al. (2011),Buenos Aires
Andriu-38.43994-58.62064,38.82,-38.43994,-58.62064,2012,Andriulo et al. (2012),Buenos Aires
Sainz -38.45355-58.620783,96.35,-38.45355,-58.620783,2011,Sainz Rozas et al. (2011),Buenos Aires
Andriu-37.59044-58.62839,51.06,-37.59044,-58.62839,2012,Andriulo et al. (2012),Buenos Aires
Andriu-37.58969-58.63006,132.78,-37.58969,-58.63006,2012,Andriulo et al. (2012),Buenos Aires
Andriu-37.59808-58.63125,54.5,-37.59808,-58.63125,2012,Andriulo et al. (2012),Buenos Aires
Sainz -38.364056-58.633111,91.26,-38.364056,-58.633111,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.891028-58.664667,100.66,-37.891028,-58.664667,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.892067-58.665083,102.93,-37.892067,-58.665083,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.984639-58.674611,71.32,-37.984639,-58.674611,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.916833-58.676028,98.53,-37.916833,-58.676028,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.907083-58.679833,97.56,-37.907083,-58.679833,2011,Sainz Rozas et al. (2011),Buenos Aires
Berhon-32.74992-58.69929,68.29,-32.74992,-58.69929,2008,"Berhongaray et al., (2013)",Entre Rios
Berhon-32.74992-58.69929,96.03,-32.74992,-58.69929,2008,"Berhongaray et al., (2013)",Entre Rios
Sainz -35.49491-58.70566,74.53,-35.49491,-58.70566,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -35.49492-58.70589,72.63,-35.49492,-58.70589,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.525444-58.725611,95.14,-38.525444,-58.725611,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.2938-58.7316,70.81,-38.2938,-58.7316,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.118433-58.741483,88.47,-38.118433,-58.741483,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.310533-58.741683,81.81,-38.310533,-58.741683,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.199667-58.742333,74.29,-38.199667,-58.742333,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.200361-58.743472,66.26,-38.200361,-58.743472,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.11275-58.7455,82.7,-38.11275,-58.7455,2011,Sainz Rozas et al. (2011),Buenos Aires
Andriu-37.4315-58.76644,40.53,-37.4315,-58.76644,2012,Andriulo et al. (2012),Buenos Aires
Sainz -37.767639-58.783306,101.2,-37.767639,-58.783306,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.766944-58.784417,90.54,-37.766944,-58.784417,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.126417-58.814556,101.67,-38.126417,-58.814556,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.47761-58.8159,62.72,-38.47761,-58.8159,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.4776-58.8159,92.06,-38.4776,-58.8159,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.135333-58.819639,83.62,-38.135333,-58.819639,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.114778-58.854417,80.42,-38.114778,-58.854417,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.116278-58.854722,90.89,-38.116278,-58.854722,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -35.35146-58.86783,65.25,-35.35146,-58.86783,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -35.35152-58.86791,42.72,-35.35152,-58.86791,2011,Sainz Rozas et al. (2011),Buenos Aires
Berhon-34.44602-58.87109,55.72,-34.44602,-58.87109,2008,"Berhongaray et al., (2013)",Buenos Aires
Sainz -38.540001-58.876199,101.8,-38.540001,-58.876199,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.605083-58.88,82.45,-37.605083,-58.88,2010,Sainz Rozas et al. (2011),Buenos Aires
Berhon-35.58552-58.90178,42.5,-35.58552,-58.90178,2008,"Berhongaray et al., (2013)",Buenos Aires
Berhon-35.58552-58.90178,44.08,-35.58552,-58.90178,2008,"Berhongaray et al., (2013)",Buenos Aires
Sainz -38.337128-58.930444,86.41,-38.337128,-58.930444,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.336389-58.933472,82.95,-38.336389,-58.933472,2010,Sainz Rozas et al. (2011),Buenos Aires
Andriu-37.45258-58.93947,82.46,-37.45258,-58.93947,2012,Andriulo et al. (2012),Buenos Aires
Sainz -37.449667-58.939722,82.41,-37.449667,-58.939722,2010,Sainz Rozas et al. (2011),Buenos Aires
Andriu-37.46067-58.94208,27.29,-37.46067,-58.94208,2012,Andriulo et al. (2012),Buenos Aires
Andriu-37.36553-58.94286,45.89,-37.36553,-58.94286,2012,Andriulo et al. (2012),Buenos Aires
Sainz -37.450667-58.943472,94.53,-37.450667,-58.943472,2010,Sainz Rozas et al. (2011),Buenos Aires
Andriu-37.45222-58.94444,42.9,-37.45222,-58.94444,2012,Andriulo et al. (2012),Buenos Aires
Sainz -37.605778-58.946472,78.78,-37.605778,-58.946472,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.347306-58.984139,133.03,-37.347306,-58.984139,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.346306-58.984861,121.19,-37.346306,-58.984861,2010,Sainz Rozas et al. (2011),Buenos Aires
Berhon-32.35715-59.02371,40.31,-32.35715,-59.02371,2008,"Berhongaray et al., (2013)",Entre Rios
Berhon-32.35715-59.02371,58.08,-32.35715,-59.02371,2008,"Berhongaray et al., (2013)",Entre Rios
Berhon-35.98744-59.02563,51.28,-35.98744,-59.02563,2008,"Berhongaray et al., (2013)",Buenos Aires
Berhon-35.98744-59.02563,66.02,-35.98744,-59.02563,2008,"Berhongaray et al., (2013)",Buenos Aires
Sainz -38.192767-59.0394,114.06,-38.192767,-59.0394,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.52801-59.04334,70.81,-38.52801,-59.04334,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.52801-59.04335,51.81,-38.52801,-59.04335,2011,Sainz Rozas et al. (2011),Buenos Aires
Berhon-31.55442-59.05573,37.18,-31.55442,-59.05573,2008,"Berhongaray et al., (2013)",Entre Rios
Berhon-31.55442-59.05573,43.59,-31.55442,-59.05573,2008,"Berhongaray et al., (2013)",Entre Rios
Sainz -37.662222-59.094639,118.49,-37.662222,-59.094639,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -35.20215-59.10466,67.76,-35.20215,-59.10466,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -35.20229-59.10475,83.71,-35.20229,-59.10475,2011,Sainz Rozas et al. (2011),Buenos Aires
Andriu-37.24603-59.13364,85.93,-37.24603,-59.13364,2012,Andriulo et al. (2012),Buenos Aires
Andriu-37.75439-59.15189,124.28,-37.75439,-59.15189,2012,Andriulo et al. (2012),Buenos Aires
Berhon-37.75508-59.15231,66.31,-37.75508,-59.15231,2008,"Berhongaray et al., (2013)",Buenos Aires
Berhon-37.75508-59.15231,72.34,-37.75508,-59.15231,2008,"Berhongaray et al., (2013)",Buenos Aires
Andriu-37.75403-59.15339,56.18,-37.75403,-59.15339,2012,Andriulo et al. (2012),Buenos Aires
Carina-34.325333-59.1696,40.22,-34.325333,-59.1696,2004,Carina Alvarez,Buenos Aires
Carina-34.3179-59.17965,72.39,-34.3179,-59.17965,2004,Carina Alvarez,Buenos Aires
Carina-34.3179-59.17965,63.23,-34.3179,-59.17965,2004,Carina Alvarez,Buenos Aires
Sainz -38.238883-59.2045,87.26,-38.238883,-59.2045,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.5364-59.2079,84.23,-38.5364,-59.2079,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.350833-59.212194,106.22,-37.350833,-59.212194,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.202283-59.213833,99.38,-38.202283,-59.213833,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.291306-59.214,91.5,-37.291306,-59.214,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.350333-59.214806,114.53,-37.350333,-59.214806,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.27986-59.24376,84.84,-37.27986,-59.24376,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.27986-59.24376,76.88,-37.27986,-59.24376,2011,Sainz Rozas et al. (2011),Buenos Aires
Carina-34.102033-59.306717,46.92,-34.102033,-59.306717,2004,Carina Alvarez,Buenos Aires
Carina-34.102417-59.308667,59.72,-34.102417,-59.308667,2004,Carina Alvarez,Buenos Aires
Carina-34.297667-59.3104,51.25,-34.297667,-59.3104,2004,Carina Alvarez,Buenos Aires
Carina-34.302983-59.314567,52.47,-34.302983,-59.314567,2004,Carina Alvarez,Buenos Aires
Sainz -34.94545-59.32015,78.4,-34.94545,-59.32015,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -34.94545-59.32028,80.43,-34.94545,-59.32028,2011,Sainz Rozas et al. (2011),Buenos Aires
Andriu-36.96311-59.32603,122.55,-36.96311,-59.32603,2012,Andriulo et al. (2012),Buenos Aires
Carina-34.0163-59.330367,45.96,-34.0163,-59.330367,2004,Carina Alvarez,Buenos Aires
Sainz -37.903817-59.332,76.35,-37.903817,-59.332,2011,Sainz Rozas et al. (2011),Buenos Aires
Andriu-36.96506-59.33247,73.17,-36.96506,-59.33247,2012,Andriulo et al. (2012),Buenos Aires
Andriu-37.15372-59.33394,75.64,-37.15372,-59.33394,2012,Andriulo et al. (2012),Buenos Aires
Sainz -37.900533-59.3364,88.77,-37.900533,-59.3364,2011,Sainz Rozas et al. (2011),Buenos Aires
Berhon-37.14145-59.33655,69.28,-37.14145,-59.33655,2008,"Berhongaray et al., (2013)",Buenos Aires
Berhon-37.14145-59.33655,67.98,-37.14145,-59.33655,2008,"Berhongaray et al., (2013)",Buenos Aires
Andriu-37.15025-59.33936,164.75,-37.15025,-59.33936,2012,Andriulo et al. (2012),Buenos Aires
Carina-34.087567-59.357033,51.28,-34.087567,-59.357033,2004,Carina Alvarez,Buenos Aires
Sainz -37.110417-59.358944,115.13,-37.110417,-59.358944,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.110722-59.359333,121.39,-37.110722,-59.359333,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.418667-59.364167,106.04,-37.418667,-59.364167,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.251667-59.3992,85.44,-38.251667,-59.3992,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.2506-59.400467,80.93,-38.2506,-59.400467,2011,Sainz Rozas et al. (2011),Buenos Aires
Andriu-37.69675-59.40317,65.22,-37.69675,-59.40317,2012,Andriulo et al. (2012),Buenos Aires
Sainz -37.275583-59.404083,98.53,-37.275583,-59.404083,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.277806-59.408278,78.91,-37.277806,-59.408278,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.277806-59.408278,73.34,-37.277806,-59.408278,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -34.58532-59.42127,50.84,-34.58532,-59.42127,2011,Sainz Rozas et al. (2011),Buenos Aires
Berhon-30.69079-59.43764,41.52,-30.69079,-59.43764,2008,"Berhongaray et al., (2013)",Entre Rios
Berhon-30.69079-59.43764,58.55,-30.69079,-59.43764,2008,"Berhongaray et al., (2013)",Entre Rios
Sainz -37.94484-59.48345,92.71,-37.94484,-59.48345,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.94484-59.48346,109.76,-37.94484,-59.48346,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.296333-59.491067,81.81,-38.296333,-59.491067,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.298-59.4998,72.58,-38.298,-59.4998,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.653742-59.576833,79.09,-38.653742,-59.576833,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.668028-59.583469,75.16,-38.668028,-59.583469,2011,Sainz Rozas et al. (2011),Buenos Aires
Carina-34.014-59.605,45.56,-34.014,-59.605,2004,Carina Alvarez,Buenos Aires
Carina-34.012556-59.607611,51.51,-34.012556,-59.607611,2004,Carina Alvarez,Buenos Aires
Sainz -38.656136-59.607828,68.77,-38.656136,-59.607828,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.51887-59.64001,60.9,-38.51887,-59.64001,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.51887-59.64003,63.73,-38.51887,-59.64003,2011,Sainz Rozas et al. (2011),Buenos Aires
Andriu-31.85137-59.64551,126.07,-31.85137,-59.64551,2012,Andriulo et al. (2012),Entre Ríos
Andriu-31.85444-59.64639,88.6,-31.85444,-59.64639,2012,Andriulo et al. (2012),Entre Ríos
Andriu-31.93361-59.66501,67.91,-31.93361,-59.66501,2012,Andriulo et al. (2012),Entre Ríos
Sainz -37.00352-59.67165,100.91,-37.00352,-59.67165,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.00452-59.67247,86.52,-37.00452,-59.67247,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.179417-59.675533,79.55,-38.179417,-59.675533,2011,Sainz Rozas et al. (2011),Buenos Aires
Berhon-31.7482-59.67828,32.44,-31.7482,-59.67828,2008,"Berhongaray et al., (2013)",Entre Rios
Berhon-31.7482-59.67828,81.34,-31.7482,-59.67828,2008,"Berhongaray et al., (2013)",Entre Rios
Sainz -36.99677-59.68234,87.61,-36.99677,-59.68234,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -36.997-59.68284,102.86,-36.997,-59.68284,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.1739-59.685083,86.05,-38.1739,-59.685083,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.868944-59.68775,83.62,-37.868944,-59.68775,2010,Sainz Rozas et al. (2011),Buenos Aires
Andriu-31.8541-59.69305,81.52,-31.8541,-59.69305,2012,Andriulo et al. (2012),Entre Ríos
Sainz -37.871083-59.697111,99.64,-37.871083,-59.697111,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.79244-59.7014,82.41,-37.79244,-59.7014,2011,Sainz Rozas et al. (2011),Buenos Aires
Novell-31.85-59.75,78.14,-31.85,-59.75,2008,"Novelli et al., 2013 (Geoderma)",Entre Ríos
Novell-31.85-59.75,79.8,-31.85,-59.75,2008,"Novelli et al., 2013 (Geoderma)",Entre Ríos
Novell-31.85-59.75,126.1,-31.85,-59.75,2008,"Novelli et al., 2013 (Geoderma)",Entre Ríos
Novell-31.85-59.75,65.76,-31.85,-59.75,2008,"Novelli et al., 2013 (Geoderma)",Entre Ríos
Novell-31.85-59.75,75.7,-31.85,-59.75,2008,"Novelli et al., 2013 (Geoderma)",Entre Ríos
Novell-31.85-59.75,92.8,-31.85,-59.75,2008,"Novelli et al., 2013 (Geoderma)",Entre Ríos
Sainz -38.498767-59.774694,43.19,-38.498767,-59.774694,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -36.935111-59.776889,130.46,-36.935111,-59.776889,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.14375-59.778778,128.25,-37.14375,-59.778778,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -36.93775-59.779583,104.17,-36.93775,-59.779583,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.143611-59.780889,123.91,-37.143611,-59.780889,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.427594-59.804919,71.66,-38.427594,-59.804919,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -34.14682-59.82891,52.1,-34.14682,-59.82891,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -34.1468-59.82899,51.2,-34.1468,-59.82899,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.444056-59.836306,59.49,-38.444056,-59.836306,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.61374-59.83961,91.3,-37.61374,-59.83961,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.61374-59.83962,94.53,-37.61374,-59.83962,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.599611-59.845167,103.01,-37.599611,-59.845167,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.612806-59.848028,97.62,-37.612806,-59.848028,2010,Sainz Rozas et al. (2011),Buenos Aires
Andriu-37.24-59.86103,116.73,-37.24,-59.86103,2012,Andriulo et al. (2012),Buenos Aires
Sainz -37.007111-59.862306,92.45,-37.007111,-59.862306,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.007111-59.862306,115.72,-37.007111,-59.862306,2010,Sainz Rozas et al. (2011),Buenos Aires
Andriu-37.23969-59.8635,69.64,-37.23969,-59.8635,2012,Andriulo et al. (2012),Buenos Aires
Andriu-37.22319-59.86419,118.41,-37.22319,-59.86419,2012,Andriulo et al. (2012),Buenos Aires
